Date,Temperature,Humidity,Precipitation,WindSpeed,AirQualityIndex,City,Season,Event,Year
2000-01-31,8.73,64.2,30.94,2.53,327,CityD,Autumn,Snow,2000
2000-02-29,37.54,8.41,270.77,4.18,126,CityA,Autumn,None,2000
2000-03-31,26.6,16.16,151.58,2.66,105,CityC,Summer,None,2000
2000-04-30,19.93,89.86,247.94,1.33,496,CityD,Autumn,Snow,2000
2000-05-31,-2.2,60.64,96.01,1.81,91,CityA,Summer,Storm,2000
2000-06-30,-2.2,0.92,268.66,6.91,286,CityD,Winter,Rain,2000
2000-07-31,-7.1,10.15,116.76,3.1,377,CityB,Winter,None,2000
2000-08-31,33.31,66.35,3.25,5.46,392,CityB,Summer,None,2000
2000-09-30,20.06,0.51,271.61,7.55,50,CityA,Winter,Snow,2000
2000-10-31,25.4,16.08,27.39,10.36,28,CityC,Spring,Rain,2000
2000-11-30,-8.97,54.87,95.79,0.59,461,CityA,Autumn,Snow,2000
2000-12-31,38.5,69.19,285.02,11.99,295,CityD,Spring,Rain,2000
2001-01-31,31.62,65.2,285.18,9.42,296,CityC,Autumn,Rain,2001
2001-02-28,0.62,22.43,172.03,1.23,213,CityB,Winter,Rain,2001
2001-03-31,-0.91,71.22,189.55,13.1,266,CityC,Spring,None,2001
2001-04-30,-0.83,23.72,134.53,13.81,406,CityB,Winter,Storm,2001
2001-05-31,5.21,32.54,87.96,0.92,256,CityC,Autumn,Snow,2001
2001-06-30,16.24,74.65,98.6,4.15,301,CityC,Summer,Storm,2001
2001-07-31,11.6,64.96,201.76,12.09,100,CityC,Summer,Snow,2001
2001-08-31,4.56,84.92,225.71,11.22,404,CityD,Spring,Rain,2001
2001-09-30,20.59,65.76,237.47,2.77,345,CityD,Winter,None,2001
2001-10-31,-3.03,56.83,236.89,3.14,109,CityA,Winter,Storm,2001
2001-11-30,4.61,9.37,27.36,5.56,419,CityA,Spring,None,2001
2001-12-31,8.32,36.77,148.33,7.27,181,CityB,Summer,Snow,2001
2002-01-31,12.8,26.52,17.27,9.27,470,CityD,Autumn,None,2002
